index,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
FR,0.0,0.0,0.0,4.604206094045315,0.0,0.0,8.065934152624388,0,0.0,12.63661333815325,0.0,0.0,10.874277017306158,0.0,0.0,10.49603308826548,0.0,0.0,0.0,0.0,13.525631945462827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6238316579427527,0.0,0.0,0.0,0.0,0.6791714469982847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371395766252989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,0.40107037241379306,0.0,0.0,0.0,0.01507885836274621,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315152940054651,0.0,0.0,0.0,0.0,0.0,0.17465923862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02932442482758621,0.0
HR,0.0,0.0,1.5900095111579184,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3277246556985085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5303921925310259,0.0,0.0,0.5375095976887169,0.0,0.0,0.0
HU,0.0,0.10755913029315962,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.138271645849937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1039827690424686,0.9620007618125924,0.0,0.0,0.0,0.008096460890356368,0.0,0.17135298053262732
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5916608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.004870277240122965,0.0,0.0,0.0,0.0,0.8610430148013206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21062398975293178,0.0,2.571963408801093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046137551292269,0.0,0.41747776488671295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42254905356939537,0.0,0.0,0.0
LT,0.0,0.0,0.0,0.0,0.0,0.06555473169759762,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47583930668869634,0.0,0.0,0.0,0.0,0.0,0.0,2.158723885175908,0.0,0.0,0.0,0.0,0.09425236530798131,0.0,0.0,0.0,0.0
LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.8002163269953316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1405009541153671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4521869843322697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023238843037830446,0.0,0.0,0.0,0.0,0.0
MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08913232721617417
ME,2.1734980265636326,0.0,0.3695031198243413,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6325919351588296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0763862731982239,0.0,0.0,0.0,0.0,0.0,0.0
MK,0.0,0.0,0.0,0.0,0.0042242404645337584,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8163543503448274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03380392428555164,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004940281225093931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.0,0.0,6.466171086246159,0.0,0.0,0.0,0,0.0,7.605708954343617,1.0470386025845382,0.0,0.0,0.0,0.0,4.783137279688033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10987125441193211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5832073884297518,8.14538067511101,0.0,0.0,0.3041243122509393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.632197687464421,0.0,0.0,0.0,0.0,0.0,0.0,11.091562386257543,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.8540964692018678,0.01204168547193442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3806566688489127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012574715814641924,0.0,3.1548765910850505,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.727370105146305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.0,3.1127131909370376,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260470226574063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6138459431287715,0.0,0.0,0.0,0.0,0.0,0.07406232809827398
RS,0.1571405314285714,0.0,0.19770325424114768,0.0,0.22905303882500289,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38931216156210857,0.5103500516338381,0.0,0.0,0.0,0.0,0.0,0.0,0.49850437731982233,3.075342063588751,0.0,0.0,0.0,0.0,0.0,0.9615847381304794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.27333803770361087,0.0,2.935915126722077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7688555055264357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6073850433689505
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4980282000455425,5.813900955823751,0.0,0.0,18.22120524057839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.740311841853581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2066665392235,3.789001688602983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.19902081594566828,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6214501507457584,0.0,0.0,3.9073534257656837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04122634680633041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.263389317659113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09260227137652283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2896886247666464
TR,0.0,0.0,0.0,0.0,0.32475048639417053,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8515399834482758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA,0.0,0.0,0.0,0.0,0.0,1.9787906172218732,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318727241239682,0.0,0.0,0.0,0.0,0.0,0.2412007166407465,0.0,0.0,0.0,0.0,0.0,1.4771844229513296,0.0,2.687730532732079,0.0,0.17199469516027657,0.0,0.0,0.07212773615432481,0.0,0.0
