geography,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
LU,52.261445484418644,,,505.56055493937333,,,,,,819.2093039942622,11.57918732201498,,0.0,,0.0,0.0,128.8331347666427,0.0,,57.869926310452776
LV,152.2277084362116,,,638.1112991590736,,,,,,,5.1649751588135615,,0.0,,638.1112991590736,30.18134607839901,,0.0,,21.440119160780313
MD,131.315759290263,,,588.86769971444,,,,,,,7.806542980228998,,,,588.86769971444,15.03768794553781,,,,21.37856199761801
ME,,1264.8230173443385,,,,,,,,,,34.48737991090261,,,1264.8230173443385,32.01937667680118,,,,21.37856199761801
MK,,1264.8230173443385,,,,,,,,,7.806542980228998,,,,1264.8230173443385,9.350495736214,,,,21.37856199761801
MT,,,,,,,,,,,,,,,0.0,0.0,,,,
NL,62.22994132086217,,867.7886978677394,461.0260618012837,999.7561256337898,1083.886528864276,1083.886528864276,,,,8.847733570392345,,0.0,12.87917014280488,534.153611282793,15.732659955528838,119.84569309043022,0.0,15.66787979509296,16.07349522076908
NO,267.3606867709516,,,452.0683122900653,1396.3404198467751,,,,,43.42931033235404,7.806542980228998,6.564648467528559,0.0,,452.0683122900653,8.338994799204027,,0.0,15.58824921943225,13.947217510291559
PL,53.771712347438346,1157.713344024378,1185.895739920454,602.9704649936582,1182.3607356083462,881.8301030424439,881.8301030424439,,,1450.3243981155608,5.879375677729413,34.48737991090261,0.0,,1110.7130798598937,97.84451104848563,109.12895921792351,0.0,,17.14773757783522
PT,58.56551982980499,,,443.59071640121437,1067.120690105831,798.0841250506712,798.0841250506712,,78.3140985417329,564.5666232538834,6.465255058433459,52.34367711599192,0.0,,517.1211940217388,84.28400554829511,78.02852911302533,0.0,17.50609698655301,15.267448069665994
RO,60.21349835920936,1173.2770535646955,,685.9022839140235,1151.667540730953,1241.254541524727,1241.254541524727,,,630.4044232938229,5.088520029279485,34.48737991090261,0.0,14.40212646383121,588.5717169351294,24.12976463040442,98.76201021276172,0.0,,25.117271349957292
RS,131.315759290263,1264.8230173443385,,588.86769971444,,,,,,667.600130768882,7.806542980228998,34.48737991090261,,,1264.3764394814366,58.805306195943984,,,,
RU,,,,,,,,,,,,,,,0.0,0.0,,,,
SE,56.44559365743623,,1186.176925067681,597.5111016941046,1282.156346018854,840.5883778053336,840.5883778053336,1190.616719586539,,112.1827176519084,4.918267919389962,50.79668996947025,0.0,13.52658879446119,13.52658879446119,41.5442281251879,123.90968945034386,0.0,16.23447722408871,16.37384456607367
SI,204.96494178784826,1254.3218488229215,,586.5728985935147,,973.7020603754949,973.7020603754949,,,477.22419291727095,14.31181676121048,,0.0,22.34850067517836,509.3671126130347,45.68004819880234,95.89048116145932,0.0,,21.37856199761801
SK,116.83855062140972,1565.662981626836,,721.295839509668,1409.90511791984,1399.71599796158,1399.71599796158,,,718.2477707624649,19.208791445406398,65.08721474707649,0.0,27.2634716382783,397.3010356080193,118.35388089597622,110.95295802191154,0.0,,21.37856199761801
TR,263.2052674378508,1279.0117345287692,1646.3804314695628,456.4693890621157,1095.486823257147,962.842702153253,962.842702153253,,75.48131535951138,,4.813146830091764,50.96453520833773,0.0,,0.0,0.0,77.15040668046208,0.0,,13.041198765637533
UA,,,,,,,,,,,,,,,0.0,0.0,,,,
