index,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
FI,5.972302972845303,,,4.152680390982566,3.0239401375384243,0.01716497711488002,,2.7565519164864236,,,14.409095236536475,,,22.3196955467951,0.6417435311966333,0.20358958932027454,,0.14241810713879877,,7.217757870260724
FR,2.9171700141880903,,,34.5130841250711,1.4813873375121867,1.5743425283761074,,,,8.745777818479167,41.358556650199404,17.621538405665728,,334.2379409343018,,,12.450572712706908,1.703687698746431,,38.346055381709256
GB,17.950705779290235,,,94.86261690194799,4.365754008913555,,,,,1.5920669931652391,4.307708117574181,,,47.32813965707412,1.4810009284046266,,11.22506450202038,,27.30281062722025,26.366446475236256
GR,,5.849022685877018,,18.912695225113833,,,,,,0.46895881278568613,,2.4377143667995442,,,,,3.975011385946928,,,7.45986726158751
HR,0.5018767078683934,,,2.9360944107834572,1.1127830352425665,0.02712663254384081,,,0.07859742245501058,0.43499528621042877,1.710693143190622,3.095907702858126,,,,0.3851317707811545,0.07814534525164311,0.023807065645637074,,1.7180483992826259
HU,1.0070652499999633,3.6923137500000123,,8.018829749999977,0.060888500000006826,0.0036942499999999927,,,0.0002877500000000006,,0.11419774999998773,0.11283049999999054,,15.129214000000289,0.5245497499999806,0.11995599999998662,1.594002500000013,0.13325274999999462,,0.6363244999999843
IE,,,,,,10.3360855,,,0.7874455,2.1056475,,2.106946,11.8138465,0.0104195,,0.2519445,0.35675,0.8303155,,
IT,5.728549097176354,,6.279724472788352,109.10231063987199,12.349204977456433,0.9160861481270554,,,5.650416649493369,3.728908322605621,37.254774724923166,6.48040489650458,,,18.161042815837398,,20.404952550212656,0.29541581652054677,,18.562716009360756
LT,0.4044300221450477,,,1.531204163668452,,,,,,0.7744740868724328,0.2602638154958383,,,,0.14102302772401837,,0.07411621905955323,0.14795542234997183,,1.5036545954115936
LU,,,,,,,,,,,,,,,,,,,,
LV,0.5270950726413035,,,1.6939063821786502,,,,,,,2.51944228560857,,,,0.5667879653600687,,,,,0.1490332555834009
MD,0.016994858093653326,,,5.19862572094128,,,,,,,0.27551213311147926,,,,,,,,,0.0025452094128832693
ME,,1.4870166086360637,,,,,,,,,,1.3178940041124072,,,,,,,,0.3056689513365324
MK,,3.4453916180714965,,,,,,,,,0.9063476908968497,,,,,,,,,0.1163410630461134
MT,,,,,,,,,,,,,,,,,,,,
NL,0.13483700000001,,,49.66673274999993,12.127901500000055,,,,,,,,,3.865094499999989,27.772845749999995,,0.10138624999999293,1.139070750000008,3.5953207500000066,3.8972912499999586
NO,,,,2.045107098347616,,,,,,5.176835418567761,11.305227334985796,127.008478098176,,,0.2664345014243475,0.2413999260758921,,0.288525152372262,,9.294519885045027
PL,2.0834245987703373,34.57618324632806,0.2864123039963662,12.464895563133357,70.45986092166676,1.59884401406128,,,,1.0629595088808215,1.4877286888306986,0.13692979471706623,,,,,2.4280406260965703,,,15.213910050552213
PT,3.283950938631436,,,16.611525609700553,2.2208264203574855,,,,,3.349677680120671,7.542265342821341,2.9736042721735108,,,0.211331030001138,,1.2696612753615995,,0.07511636886682481,12.018387145679094
RO,0.4797473095753181,8.772017346350912,,10.174921206535336,0.8467291999886114,,,,,,9.65655369850848,5.755206614653306,,11.488183963907534,,,1.3419433900147582,,,6.885281944096542
RS,0.17146376056018864,24.359327652681273,,0.01610391671410783,,,,,,0.7103674376067667,8.425405615507241,0.6256976177843138,,,0.339195308664447,,,,,
RU,,,,,,,,,,,,,,,,,,,,
SE,,,,,,,,,,,,73.10084525947863,,47.46084370454277,6.809653638961622,,,,,26.87137365068886
SI,0.0994086588295677,3.905888342365934,,0.41674372310143987,,,,,,0.2893894734714472,4.786052445633628,,,6.040600860696366,,,0.26173489923714405,0.078868489582155,,0.005256299214391204
SK,0.9012014907513112,1.031962533911855,,3.3289494478191393,0.09637426079013475,3.3159539821877746,,,,0.7212453841961135,4.103467966202323,0.3802605435030816,,15.419566794245192,1.1889181109842573,0.5109995213518892,0.5195658771408823,,,0.003773168303265609
TR,,,,,,,,,,,,,,,,,,,,
UA,,,,,,,,,,,,,,,,,,,,
